                                                     LINK,                        NAME,       STATE
https://static.india.gov.in/npiprod/uploads/nara_chandrababu_naidu_7fda13c909.jpg,Shri N. Chandrababu Naidu,Andhra Pradesh
https://static.india.gov.in/npiprod/uploads/pema_khandu_22bca080f1.jpg,Shri Pema Khandu,Arunachal Pradesh
https://static.india.gov.in/npiprod/uploads/himanta_biswa_sarma_f923eaf016.jpg,Shri Himanta Biswa Sarma,Assam
https://static.india.gov.in/npiprod/uploads/samratchoudhary_b83dc94282.jpg,Shri Samrat Choudhary,Bihar
https://static.india.gov.in/npiprod/uploads/vishnu_deo_sai_b42c4b5810.jpg,Shri Vishnu Deo Sai,Chhattisgarh
https://static.india.gov.in/npiprod/uploads/Rekha_Gupta_dcd280f780_cb49dd99c6.png,Smt. Rekha Gupta,Delhi (NCT)
https://static.india.gov.in/npiprod/uploads/pramod_sawant_ada620e6b4.jpg,Shri Pramod Sawant,Goa
https://static.india.gov.in/npiprod/uploads/bhupendra_patel_ecaff5e302.jpg,Shri Bhupendra Patel,Gujarat
https://static.india.gov.in/npiprod/uploads/nayab_singh_saini_55ced12b0d.jpg,Shri Nayab Singh Saini,Haryana
https://static.india.gov.in/npiprod/uploads/sukhvinder_singh_sukhu_9e2b396857.jpg,Shri Sukhvinder Singh Sukhu,Himachal Pradesh
https://static.india.gov.in/npiprod/uploads/omar_abdullah_165c0ddc60.jpg,Shri Omar Abdullah,Jammu and Kashmir (UT)
https://static.india.gov.in/npiprod/uploads/hemant_soren_1_e8c9bf426a.jpg,Shri Hemant Soren,Jharkhand
https://static.india.gov.in/npiprod/uploads/siddaramaiah_864fec467f.jpg,Shri Siddaramaiah,Karnataka
https://static.india.gov.in/npiprod/uploads/kerala_cm_6d95340189.png,Shri V. D. Satheesan,Kerala
https://static.india.gov.in/npiprod/uploads/mohan_yadav_9acbeed6fe.jpg,Shri Mohan Yadav,Madhya Pradesh
https://static.india.gov.in/npiprod/uploads/devendra_fadnavis_f6ae83b835.png,Shri Devendra Fadnavis,Maharashtra
https://static.india.gov.in/npiprod/uploads/manipur_CM_ca1c91eb01.jpg,Shri Yumnam Khemchand Singh,Manipur
https://static.india.gov.in/npiprod/uploads/conrad_kongkal_sangma_db9054298b.jpg,Shri Conrad Kongkal Sangma,Meghalaya
https://static.india.gov.in/npiprod/uploads/pu_lalduhoma_5d7a64e9db.jpg,Shri PU Lalduhoma,Mizoram
https://static.india.gov.in/npiprod/uploads/neiphiu_rio_df93ce7667.jpg,Shri Neiphiu Rio,Nagaland
https://static.india.gov.in/npiprod/uploads/mohan_charan_majhi_b094b51fcc.jpg,Shri Mohan Charan Majhi,Odisha
https://static.india.gov.in/npiprod/uploads/n_rangaswamy_df59a8a93c.jpg,Shri N. Rangaswamy,Puducherry (UT)
https://static.india.gov.in/npiprod/uploads/bhagwant_singh_mann_202a45b792.jpg,Shri Bhagwant Singh Mann,Punjab
https://static.india.gov.in/npiprod/uploads/bhajan_lal_sharma_669882fb7a.jpg,Shri Bhajan Lal Sharma,Rajasthan
https://static.india.gov.in/npiprod/uploads/ps_golay_73d8bd4b7a.jpg,Shri PS Golay,Sikkim
https://static.india.gov.in/npiprod/uploads/cm_tn_c95f278f2e.png,Shri C. Joseph Vijay,Tamil Nadu
https://static.india.gov.in/npiprod/uploads/a_revanth_reddy_13634dd0f5.jpg,Shri A Revanth Reddy,Telangana
https://static.india.gov.in/npiprod/uploads/manik_saha_ab75d9790e.jpg,Dr. Manik Saha,Tripura
https://static.india.gov.in/npiprod/uploads/yogi_aditya_nath_252ace804d.jpg,Shri Yogi Aditya Nath,Uttar Pradesh
https://static.india.gov.in/npiprod/uploads/pushkar_singh_dhami_f3a47b8abf.jpg,Shri Pushkar Singh Dhami,Uttarakhand
https://static.india.gov.in/npiprod/uploads/cm_wb_9dd1e92d8e.png,Shri Suvendu Adhikari,West Bengal